0,0,3,8,0,0,0,0,0,0,16,0,0,6,0,0
1,9,0,0,0,0,0,0,0,0,0,15,0,0,7,0
12,0,13,16,0,8,0,0,1,14,7,0,0,9,0,4
4,0,0,0,9,0,0,6,5,0,0,0,11,0,0,0
10,0,0,0,0,9,0,7,0,0,0,4,0,15,0,0
3,1,0,0,0,2,0,0,14,0,0,0,0,10,0,11
0,0,0,0,3,0,0,0,13,1,0,0,0,0,8,0
0,13,0,0,11,12,0,0,6,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,12,0,11,0,0,0,14,0
0,0,6,0,5,0,0,2,16,0,0,0,0,0,10,9
13,0,0,0,0,16,0,12,3,0,1,0,7,8,5,0
0,0,15,0,0,0,0,0,0,0,5,6,3,0,1,0
0,0,0,1,7,0,5,0,0,12,10,0,0,0,15,14
0,0,5,4,0,3,0,0,0,0,8,0,16,0,0,0
11,0,0,9,0,0,15,13,0,0,2,1,0,7,0,0
0,15,14,0,0,11,0,8,9,0,0,5,0,0,2,1
0,0,4,9,0,0,0,0,0,0,1,0,0,7,0,0
2,10,0,0,0,0,0,0,0,0,0,16,0,0,8,0
13,0,14,1,0,9,0,0,2,15,8,0,0,10,0,5
5,0,0,0,10,0,0,7,6,0,0,0,12,0,0,0
11,0,0,0,0,10,0,8,0,0,0,5,0,16,0,0
4,2,0,0,0,3,0,0,15,0,0,0,0,11,0,12
0,0,0,0,4,0,0,0,14,2,0,0,0,0,9,0
0,14,0,0,12,13,0,0,7,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,13,0,12,0,0,0,15,0
0,0,7,0,6,0,0,3,1,0,0,0,0,0,11,10
14,0,0,0,0,1,0,13,4,0,2,0,8,9,6,0
0,0,16,0,0,0,0,0,0,0,6,7,4,0,2,0
0,0,0,2,8,0,6,0,0,13,11,0,0,0,16,15
0,0,6,5,0,4,0,0,0,0,9,0,1,0,0,0
12,0,0,10,0,0,16,14,0,0,3,2,0,8,0,0
0,16,15,0,0,12,0,9,10,0,0,6,0,0,3,2
